batter,fifties,hundreds,ducks,player_of_match_awards
TM Head,10.0,1.0,6.0,3.0
TM Srivastava,0.0,0.0,1.0,0.0
TS Mills,0.0,0.0,3.0,0.0
TU Deshpande,0.0,0.0,2.0,0.0
Tilak Varma,10.0,1.0,2.0,2.0
U Kaul,0.0,0.0,1.0,0.0
UBT Chand,1.0,0.0,4.0,0.0
UT Yadav,0.0,0.0,10.0,10.0
Umar Gul,0.0,0.0,0.0,1.0
Umran Malik,0.0,0.0,2.0,2.0
Urvil Patel,1.0,0.0,2.0,0.0
V Kohli,69.0,9.0,12.0,22.0
V Nigam,0.0,0.0,1.0,0.0
V Pratap Singh,0.0,0.0,1.0,0.0
V Sehwag,16.0,2.0,7.0,11.0
V Shankar,7.0,0.0,2.0,0.0
V Suryavanshi,6.0,2.0,2.0,4.0
VG Arora,0.0,0.0,4.0,1.0
VR Aaron,0.0,0.0,4.0,2.0
VR Iyer,13.0,1.0,2.0,4.0
VRV Singh,0.0,0.0,1.0,0.0
VVS Laxman,1.0,0.0,4.0,0.0
VY Mahesh,0.0,0.0,1.0,0.0
Vijaykumar Vyshak,0.0,0.0,2.0,0.0
Vivrant Sharma,1.0,0.0,0.0,0.0
W Jaffer,1.0,0.0,1.0,0.0
WD Parnell,0.0,0.0,0.0,1.0
WG Jacks,2.0,1.0,0.0,3.0
WP Saha,13.0,1.0,7.0,5.0
WPUJC Vaas,0.0,0.0,3.0,1.0
Washington Sundar,3.0,0.0,4.0,1.0
XC Bartlett,0.0,0.0,1.0,0.0
Y Nagar,0.0,0.0,3.0,0.0
Y Prithvi Raj,0.0,0.0,1.0,0.0
Y Venugopal Rao,3.0,0.0,3.0,0.0
YA Abdulla,0.0,0.0,1.0,0.0
YBK Jaiswal,18.0,2.0,4.0,6.0
YK Pathan,14.0,1.0,10.0,16.0
YS Chahal,0.0,0.0,3.0,7.0
YV Takawale,0.0,0.0,2.0,0.0
Yash Dayal,0.0,0.0,2.0,0.0
Yash Thakur,0.0,0.0,0.0,1.0
Yudhvir Singh,0.0,0.0,1.0,0.0
Yuvraj Singh,13.0,0.0,4.0,5.0
Z Khan,0.0,0.0,6.0,1.0
